Country,Year,Total Asset
TR,2014,161.58
TR,2015,156.579
TR,2016,150.733
TR,2017,168.027
TR,2018,136.35
TR,2019,132.102
TR,2020,167.507
TR,2021,185.592
TR,2022,190.993
TR,2023,234.307
CL,2014,42.191
CL,2015,40.043
CL,2016,41.823
CL,2017,40.632
CL,2018,40.98
CL,2019,43.639
CL,2020,83.43
CL,2021,92.761
CL,2022,79.954
CL,2023,84.944
SE,2014,64.936
SE,2015,78.592
SE,2016,93.221
SE,2017,105.925
SE,2018,104.334
SE,2019,96.778
SE,2020,158.242
SE,2021,172.84
SE,2022,152.071
SE,2023,125.049
AR,2014,131.208
AR,2015,139.636
AR,2016,153.066
AR,2017,170.279
AR,2018,146.397
AR,2019,148.248
AR,2020,159.126
AR,2021,185.969
AR,2022,161.125
AR,2023,177.064
AE,2014,91.869
AE,2015,107.19
AE,2016,99.238
AE,2017,110.653
AE,2018,113.74
AE,2019,121.51
AE,2020,128.118
AE,2021,142.019
AE,2022,150.457
AE,2023,196.27
JP,2014,2509.723
JP,2015,3182.187
JP,2016,4070.312
JP,2017,4631.763
JP,2018,5022.936
JP,2019,5279.382
JP,2020,6815.864
JP,2021,6287.293
JP,2022,5337.864
JP,2023,5301.026
CH,2014,566.663
CH,2015,643.224
CH,2016,732.738
CH,2017,864.277
CH,2018,830.193
CH,2019,891.099
CH,2020,1134.889
CH,2021,1158.557
CH,2022,954.683
CH,2023,948.252
SG,2014,266.299
SG,2015,257.775
SG,2016,253.269
SG,2017,288.544
SG,2018,296.582
SG,2019,288.419
SG,2020,371.972
SG,2021,429.662
SG,2022,480.11
SG,2023,550.976
KR,2014,445.206
KR,2015,415.577
KR,2016,398.867
KR,2017,441.05
KR,2018,443.783
KR,2019,426.882
KR,2020,494.817
KR,2021,501.067
KR,2022,462.501
KR,2023,413.434
DK,2014,85.846
DK,2015,69.89
DK,2016,69.92
DK,2017,81.902
DK,2018,76.043
DK,2019,71.333
DK,2020,79.169
DK,2021,86.918
DK,2022,90.769
DK,2023,97.284
XM,2014,2690.441
XM,2015,3027.832
XM,2016,3861.062
XM,2017,5362.744
XM,2018,5374.977
XM,2019,5239.579
XM,2020,8564.323
XM,2021,9702.276
XM,2022,8485.649
XM,2023,7663.719
AU,2014,122.887
AU,2015,112.854
AU,2016,125.029
AU,2017,142.703
AU,2018,127.09
AU,2019,124.502
AU,2020,248.343
AU,2021,457.644
AU,2022,425.434
AU,2023,360.812
ZA,2014,54.181
ZA,2015,50.268
ZA,2016,52.658
ZA,2017,57.086
ZA,2018,57.542
ZA,2019,60.927
ZA,2020,61.127
ZA,2021,64.262
ZA,2022,64.491
ZA,2023,65.903
CN,2014,5449.559
CN,2015,4900.707
CN,2016,4949.406
CN,2017,5577.16
CN,2018,5415.846
CN,2019,5331.22
CN,2020,5929.78
CN,2021,6229.202
CN,2022,6041.445
CN,2023,6431.404
TH,2014,176.972
TH,2015,174.942
TH,2016,188.123
TH,2017,225.237
TH,2018,227.811
TH,2019,253.735
TH,2020,294.403
TH,2021,290.703
TH,2022,248.657
TH,2023,258.616
CA,2014,81.25
CA,2015,72.849
CA,2016,78.832
CA,2017,88.598
CA,2018,85.154
CA,2019,92.072
CA,2020,430.017
CA,2021,392.955
CA,2022,303.368
CA,2023,239.064
SA,2014,743.67
SA,2015,631.958
SA,2016,553.611
SA,2017,507.643
SA,2018,506.63
SA,2019,510.082
SA,2020,492.479
SA,2021,492.989
SA,2022,515.677
SA,2023,482.195
IN,2014,418.905
IN,2015,464.582
IN,2016,479.347
IN,2017,529.1
IN,2018,540.015
IN,2019,602.736
IN,2020,778.535
IN,2021,842.331
IN,2022,743.801
IN,2023,816.813
BR,2014,813.131
BR,2015,702.925
BR,2016,931.691
BR,2017,958.739
BR,2018,896.714
BR,2019,865.21
BR,2020,766.961
BR,2021,769.707
BR,2022,776.309
BR,2023,885.109
GB,2014,611.371
GB,2015,600.109
GB,2016,584.16
GB,2017,766.486
GB,2018,756.725
GB,2019,769.991
GB,2020,1227.313
GB,2021,1509.287
GB,2022,1308.416
GB,2023,1197.447
US,2014,4497.66
US,2015,4486.587
US,2016,4451.451
US,2017,4448.68
US,2018,4075.636
US,2019,4165.591
US,2020,7363.351
US,2021,8757.46
US,2022,8551.169
US,2023,7712.781
