Country,Year,Disposable_Income,Median_Net_Wealth,Household_Below_Poverty,Interest Rate
US,2004,44407.0,,,1.3958333333333333
US,2005,44402.0,,,3.25
US,2006,45434.0,,,5.020833333333333
US,2007,45954.0,,,5.0
US,2008,46360.0,,,1.8641666666666667
US,2009,46242.0,,,0.12
US,2010,46665.0,77666.0,,0.12
US,2011,47208.0,,,0.12
US,2012,48066.0,,,0.12
US,2013,47089.0,75141.0,,0.12
US,2014,48200.0,,,0.12
US,2015,49605.0,,,0.14166666666666666
US,2016,50220.0,87385.0,,0.39999999999999997
US,2017,51283.0,,,0.9983333333333334
US,2018,52678.0,,,1.8333333333333333
US,2019,54040.0,103234.0,,2.1266666666666665
US,2020,57374.0,,,0.37000000000000005
US,2021,59037.0,,,0.12
US,2022,55532.0,,,1.8966666666666665
